	Gene.names	Protein.IDs	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15
693	UBP6	P43593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8497600.0	0.0	0.0	0.0	0.0
694	DUG1	P43616	0.0	0.0	14046000.0	0.0	0.0	0.0	9386500.0	0.0	0.0	0.0	0.0	0.0	16000000.0	29094000.0	31290000.0
695	RET2	P43621	0.0	0.0	0.0	0.0	0.0	0.0	21761000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
696	IRC7	P43623	19153000.0	10435000.0	32769000.0	42698000.0	10762000.0	14722000.0	11236000.0	0.0	10360000.0	64481000.0	10355000.0	47733000.0	26600000.0	65300000.0	66951000.0
697	CIT3	P43635	0.0	0.0	0.0	0.0	0.0	37847000.0	0.0	14051000.0	0.0	0.0	0.0	0.0	34216000.0	0.0	0.0
698	CKB1	P43639	0.0	0.0	0.0	21333000.0	7270900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36430000.0	0.0
699	ROK1	P45818	0.0	0.0	39921000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	ALD4	P46367	531930000.0	135870000.0	987460000.0	511870000.0	120040000.0	1387900000.0	274080000.0	442430000.0	274480000.0	264560000.0	382820000.0	249090000.0	765230000.0	1029600000.0	495110000.0
701	RPS0B;RPS0A	P46654;P32905	1987700000.0	1906800000.0	3989800000.0	3564800000.0	1462300000.0	2077600000.0	3249900000.0	821220000.0	1735600000.0	3265700000.0	1213300000.0	2944400000.0	1703000000.0	3506100000.0	4353100000.0
702	GUS1	P46655	215890000.0	33932000.0	542180000.0	323890000.0	94576000.0	485900000.0	85878000.0	12940000.0	159870000.0	493050000.0	310310000.0	309720000.0	334420000.0	654320000.0	487300000.0
703	ARC1	P46672	89280000.0	34861000.0	91096000.0	44447000.0	14115000.0	65168000.0	0.0	24749000.0	44084000.0	72883000.0	83822000.0	111740000.0	79626000.0	89827000.0	88216000.0
704	STU2	P46675	0.0	0.0	0.0	0.0	0.0	65342000.0	379560000.0	0.0	0.0	268380000.0	39622000.0	0.0	0.0	0.0	0.0
705	AIP1	P46680	14634000.0	0.0	0.0	0.0	0.0	29845000.0	0.0	0.0	0.0	9378400.0	0.0	0.0	0.0	12011000.0	33207000.0
706	DLD2	P46681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5802600.0	10387000.0	0.0	0.0	0.0	0.0	7802000.0
707	YAR1	P46683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22181000.0	0.0	0.0	0.0	0.0	0.0
708	RPS10A;RPS10B	Q08745;P46784	705700000.0	185250000.0	1287100000.0	834980000.0	464470000.0	765570000.0	315390000.0	46528000.0	401520000.0	893840000.0	651490000.0	990500000.0	692550000.0	977740000.0	1267100000.0
