Protein.IDs	Gene.names	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15	MS.MS.count.01	MS.MS.count.02	MS.MS.count.03	MS.MS.count.04	MS.MS.count.05	MS.MS.count.06	MS.MS.count.07	MS.MS.count.08	MS.MS.count.09	MS.MS.count.10	MS.MS.count.11	MS.MS.count.12	MS.MS.count.13	MS.MS.count.14	MS.MS.count.15	MS.MS.count
Q03195	RLI1	84943000	40920000	289050000	104250000	59998000	134560000	122210000	0	54609000	86476000	59057000	137500000	93475000	173950000	213670000	35833000	34185000	45837000	32644000	34640000	33446000	50958000	0	34793000	29944000	34728000	31640000	35855000	36437000	41223000	4	3	8	4	4	5	5	0	3	5	3	6	4	7	7	68
Q03201	RSM10	0	0	0	0	680730000	365620000	0	0	0	0	155140000	0	372870000	15734000	1037600000	0	0	0	0	446150000	90090000	0	0	0	0	78207000	0	216580000	0	178370000	0	0	0	0	8	6	0	0	0	0	2	0	8	1	9	34
Q03246	MRPS17	0	0	0	0	488470000	2.12e+08	0	0	0	0	98953000	1771700	524200000	0	622630000	0	0	0	0	330010000	81513000	0	0	0	0	67844000	0	151360000	0	112300000	0	0	0	0	9	4	0	0	0	0	4	1	8	0	8	34
Q03338	PRP3	0	0	0	119510000	17406000	0	0	0	0	0	0	38009000	0	68693000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	6
Q03430	RSM28	0	0	22469000	14804000	588940000	63703000	0	0	0	0	0	0	185870000	0	270620000	0	0	0	0	229880000	35197000	0	0	0	0	0	0	64510000	0	54246000	0	0	1	1	6	2	0	0	0	0	0	0	4	0	4	18
Q03516	RSN1	19017000	0	78398000	0	0	0	0	0	11399000	0	0	14591000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	6
Q03532	HAS1	46962000	0	163800000	44449000	14084000	0	46242000	0	11654000	0	0	61280000	0	160650000	165970000	30752000	0	43189000	26583000	0	0	33926000	0	0	0	0	24338000	0	25095000	34126000	2	0	7	2	1	0	2	0	1	0	0	4	0	4	6	29
Q03558;P41816	OYE2	58531000	14018000	38443000	35155000	0	63318000	45986000	0	37317000	36543000	31773000	55751000	8193600	88262000	136410000	29166000	0	28064000	0	0	32248000	30868000	0	31090000	0	26478000	0	0	29681000	33986000	3	1	2	1	0	3	2	0	2	2	3	2	1	4	6	32
Q03640	TCB3	12368000	0	45519000	0	0	0	0	0	0	0	0	0	0	15365000	17228000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	5
Q03690	CLU1	0	0	216660000	54471000	0	30309000	32963000	0	9392300	20771000	13118000	71807000	17748000	99647000	131790000	0	0	33881000	21459000	0	18046000	1.9e+07	0	0	0	0	19006000	12392000	17235000	23918000	0	0	8	3	0	2	4	0	1	1	1	5	2	4	5	36
Q03799	MRPS8	0	0	0	0	973030000	207880000	0	0	0	0	264960000	0	668670000	0	821290000	0	0	0	0	550210000	90772000	0	0	0	0	103230000	0	213690000	0	156420000	0	0	0	0	6	5	0	0	0	0	5	0	6	0	7	29
Q03862	ARX1	0	0	0	14501000	0	14760000	9082200	0	0	19766000	0	5367700	0	21192000	22562000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	6
Q03940	RVB1	67655000	18572000	178580000	85726000	20085000	57747000	118930000	15344000	10956000	87502000	23381000	57316000	37434000	67075000	105430000	24859000	21070000	34534000	30496000	20622000	23455000	38547000	0	0	32640000	0	21632000	21399000	23284000	24653000	4	2	6	4	2	3	6	1	1	4	1	3	2	3	5	47
Q03973	HMO1	0	0	0	0	0	0	0	0	0	0	12168000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Q03976	RSM24	0	0	0	0	1.819e+09	393690000	0	0	0	0	448730000	0	973190000	0	1693400000	0	0	0	0	499870000	94110000	0	0	0	0	114410000	0	224670000	0	191470000	0	0	0	0	22	7	0	0	0	0	9	0	16	0	22	76
Q04013	YHM2	75456000	87802000	461570000	269090000	87040000	147410000	154320000	110340000	108170000	168370000	64596000	171970000	114280000	447640000	130170000	0	75435000	124050000	135240000	67938000	72619000	93937000	121360000	81431000	82156000	0	82930000	64662000	147540000	81204000	2	2	4	2	2	2	2	2	2	2	1	2	2	3	2	32
Q04062	RPN9	0	0	9160900	0	0	0	0	0	0	10676000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2
Q04067	TIF35	0	0	0	0	0	0	0	0	0	9152400	0	11684000	0	60800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3
Q04178	HPT1	0	0	54701000	0	0	0	0	0	0	0	0	0	0	0	28845000	0	0	12322000	0	0	0	0	0	0	0	0	0	0	0	11075000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	5
Q04225	RRB1	14983000	0	9015900	12479000	0	7763100	0	0	0	0	0	18671000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	5
Q04228	UBX2	0	175360000	0	113930000	0	156490000	0	0	0	0	241760000	55319000	0	0	0	0	76962000	0	53168000	0	36715000	0	0	0	0	80127000	28840000	0	0	0	0	8	0	4	0	5	0	0	0	0	7	3	0	0	0	27
Q04371		0	0	0	0	0	0	0	0	0	0	0	0	0	4931700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Q04373	PUF6	0	0	10243000	0	0	0	0	0	0	0	0	0	0	13122000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
Q04458	HFD1	14558000	0	0	0	0	7975300	0	0	0	0	0	0	0	9511100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3
Q04477	SPC24	0	70486000	39880000	0	0	46563000	126490000	43692000	45919000	0	61670000	0	0	0	0	0	60068000	40287000	0	0	0	99382000	0	51248000	0	53372000	0	0	0	0	0	2	2	0	0	1	3	1	2	0	2	0	0	0	0	13
